Symbol,Name,Category
CONTROLPR,Control Print Limited,Other
CORALFINAC,Coral India Finance & Housing Limited,Other
CORDELIA,Waterways Leisure Tourism Limited,Other
CORONA,CORONA Remedies Limited,Other
COSMOFIRST,COSMO FIRST LIMITED,Other
COUNCODOS,Country Condo's Limited,Other
CPEDU,Career Point Edutech Limited,Other
CPL,Captain Polyplast Limited,Other
CRAMC,Canara Robeco Asset Management Company Limited,Other
CREATIVEYE,Creative Eye Limited,Other
CREST,Crest Ventures Limited,Other
CRIZAC,Crizac Limited,Other
CROWN,Crown Lifters Limited,Other
CSBBANK,CSB Bank Limited,Other
CSLFINANCE,CSL Finance Limited,Other
CSM,CSM Technologies Limited,Other
CTE,Cambridge Technology Enterprises Limited,Other
CUBEXTUB,Cubex Tubings Limited,Other
CUPID,Cupid Limited,Other
CURAA,Cura Technologies Limited,Other
CYIENTDLM,Cyient DLM Limited,Other
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Other
DAMCAPITAL,Dam Capital Advisors Limited,Other
DANGEE,Dangee Dums Limited,Other
DATAMATICS,Datamatics Global Services Limited,Other
DAVANGERE,Davangere Sugar Company Limited,Other
DBCORP,D.B.Corp Limited,Other
DBL,Dilip Buildcon Limited,Other
DBOL,Dhampur Bio Organics Limited,Other
DCAL,Dishman Carbogen Amcis Limited,Other
DCBBANK,DCB Bank Limited,Other
DCI,Dc Infotech And Communication Limited,Other
DCMFINSERV,DCM Financial Services Limited,Other
DCMSRIND,DCM Shriram Industries Limited,Other
DCW,DCW Limited,Other
DCXINDIA,DCX Systems Limited,Other
DDEVPLSTIK,Ddev Plastiks Industries Limited,Other
DECCANCE,Deccan Cements Limited,Other
DECNGOLD,Deccan Gold Mines Limited,Other
DEEPINDS,Deep Industries Limited,Other
DELTACORP,Delta Corp Limited,Other
DELTAMAGNT,Delta Manufacturing Limited,Other
DEN,Den Networks Limited,Other
DENORA,De Nora India Limited,Other
DENTA,Denta Water and Infra Solutions Limited,Other
DEVIT,Dev Information Technology Limited,Other
DEVX,Dev Accelerator Limited,Other
DGCONTENT,Digicontent Limited,Other
DHAMPURSUG,Dhampur Sugar Mills Limited,Other
DHANBANK,Dhanlaxmi Bank Limited,Other
DHANUKA,Dhanuka Agritech Limited,Other
DHARMAJ,Dharmaj Crop Guard Limited,Other
DHUNINV,Dhunseri Investments Limited,Other
DIAMINESQ,Diamines & Chemicals Limited,Other
DIAMONDYD,Prataap Snacks Limited,Other
DICIND,DIC India Limited,Other
DIFFNKG,Diffusion Engineers Limited,Other
DIGIDRIVE,Digidrive Distributors Limited,Other
DIGITIDE,Digitide Solutions Limited,Other
DIGJAMLMTD,Digjam Limited,Other
DISAQ,Disa India Limited,Other
DIVGIITTS,Divgi Torqtransfer Systems Limited,Other
DJML,DJ Mediaprint & Logistics Limited,Other
DLINKINDIA,D-Link (India) Limited,Other
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Other
DNAMEDIA,Diligent Media Corporation Limited,Other
DODLA,Dodla Dairy Limited,Other
